Contact ID,Organisation Name,Country,Super-region,Region,Main-Street Address,Main-Supplemental Address 1,Main-Supplemental Address 2,Main-City,Main-Postal Code,Main-Phone-Phone,Website,Typology,Structure Type,Economic activity (primary),Economic activities (additional)
47,Cooperativa de Ahorro y Crédito 'Sagrada Familia' Ltda.,Honduras,Americas,Central America,"Oficina Principal: Residencial El trapiche, Boulevard Suyapa, frente al Edificio de Registro Veh",,,Tegucigalpa,,+504 2216 6200,https://www.sagradafamilia.hn/,Consumer/User coops,Cooperative,Financial services,
89,Confederación Paraguaya De Cooperativas CONPACOOP Ltda.,Paraguay,Americas,South America,Incas N° 556 entre Bartolomé de las Casas y Pariri,,,Asunción,,+595 21 562 777 / 78 / 79,http://www.conpacoop.coop.py,Others,National apex,All,
124,Palestinian Agriculture Cooperative Union (PACU),"Palestine, State of",Asia+Pacific,Middle East,"Al-Bireh, Nablus Street",Across the Netherlands Embassy,,,,+970-2-241 8999,http://www.pacu.org.ps/,Producer coops,National sectoral federation or union,Agriculture,
149,Malaysian National Cooperative Movement (ANGKASA),Malaysia,Asia+Pacific,South East Asia,Wisma Ungku A. Aziz,"Jalan SS6/1, Kelana Jaya",Selangor,Petaling Jaya,47301,+60 3 7800 7892,http://www.angkasa.coop,Others,National apex,All,
155,Association of Asian Confederations of Credit Unions (ACCU),International,International,International,5th Floor FSCT Building,"No. 199, Nakornin Rd. (Rama V), Bangsrithong",,"Sub-District, Bangkruay District, Nonthaburi Province",11130,"+662 496 1262, 496 1264",http://www.aaccu.coop,Consumer/User coops,Supranational,Financial services,
353,Co-operative Federation Of Nigeria (CFN),Nigeria,Africa,West Africa,"2nd Floor Infinity House, 11, Kaura Namoda Street, Area 3, Garki, Abuja","2nd Floor LASCOFED Office Complex, Plot 13, Isaacstan Close, Off Wempco Road, Ogba, Lagos",,,,"+234 8023 117726, 0803 2466666",http://www.cfn.coop,Others,National apex,All,
400,Sociedad de Seguros de Vida del Magisterio Nacional (SSVMN),Costa Rica,Americas,Central America,"Ave. 8 Calle Primera, San José, Costa Rica","De las oficinas centrales del Banco Popular en Avenida Segunda, 300 mts sur , edificio esquinero",,San José,10101,+506 2523 6736,http://www.segurosdelmagisterio.com,Consumer/User coops,Mutual organisation,Insurance,
731,European Association Of Co-operative Banks (EACB),International,International,International,Rue de l'Industrie 26-38,,,Bruxelles,BE - 1040,+32 2 230 11 24,http://www.eacb.coop,Consumer/User coops,Supranational,Financial services,
1304,Namibia Co-operatives Advisory Board (NCAB),Namibia,Africa,Southern Africa,"Ministry of Agriculture, Water & Forestry","Division of Co-operative Development and Regulation, Private Bag 13184",,Windhoek,9000,+264 61 208 7561/4,http://www.mawf.gov.na/,Others,Coop Promoter/Supporter,Other services,
1590,Centro de Estudios y Capacitación Cooperativa R.L. (CENECOOP),Costa Rica,Americas,Central America,"costado norte de Mall San Pedro, Edificio Cooperativo, 2do Peso",,San Pedro,San José,,+506 2253 5590,http://www.cenecoop.com,Others,Coop Promoter/Supporter,Other services,
3185,Sharjah Co-operative Society (SCS),United Arab Emirates,Asia+Pacific,Middle East,PO Box 5435,"Yarmukh Street (Al Wahda Road), near to Labour Office",,Sharjah,,+97 16 566 5644,http://www.shjcoop.ae/,Consumer/User coops,Cooperative,Wholesale and retail trade,
3516,Africa Confederation of Co-operative Savings & Credit Associations (ACCOSCA),International,International,International,KUSCCO Centre- Regional Office,PO Box 43278,,Nairobi,00100,+254 20 2714648/9,,Consumer/User coops,Supranational,Financial services,
3582,Mongolian National Co-operative Alliance (MNCA),Mongolia,Asia+Pacific,East Asia,"N Tower Building door number 904, 8th Khoroo, Sukhbaatar district, Unaanbaatar",POB-14193,,Ulaanbaatar city,,+976 11 350 232,http://www.mongolia.coop,Others,National apex,All,
20455,Fundacion Dominicana para el Desarollo Social y Cooperativo (FUNDESCOOP),Dominican Republic,Americas,Caribbean countries,Ave. Pasteur Esq. Calle Santiago,Plaza Jardines de Gazcue - Local 222,,"Santo Domingo, Distrito Nacional",,+809 476 73 70,http://www.fundescoop.coop,Others,Coop Promoter/Supporter,Other services,
20990,Con-Federation (CNCTL),Timor-Leste,Asia+Pacific,Oceania,"Rue Marconi, Fatuhada",,,Dili,670,+670 7723 7118,,Others,National apex,All,
24203,Rah-e-roshd Cooperative Educational Complex (RCEC),"Iran, Islamic Republic of",Asia+Pacific,Middle East,21-mahestan street- Iran zamin ave.-,Ghods shahrak,,Tehran,1465834411,"+982188572105-9, +989125267633",http://www.raheroshd.coop,Worker coops,Cooperative,Education / health / social work,
27164,Union of Housing Cooperatives in Palestine (PUHC),"Palestine, State of",Asia+Pacific,Middle East,"Al Balo' - Al-Bireh, Ministry of Interior Street, Al-Boraq Bldg (2nd floor)",,,Ramallah,,+970 224 214 29,,Consumer/User coops,National sectoral federation or union,Housing,
