Table,Name,orgnasationtype,Region,Country,City,Latitude,Longitude,Size,Type,Sector,Address,Description,Additional Details,Website,Email,Random
Support to Young Co-operators,So2 Ville (Pty) Ltd.,Management consultants,Africa,South Africa,"Durban, Kwa-Zulu Natal",-29.8586804,31.0218404,,,Management consultants,"M1457, Tsheketshe Road, Kwa-Mashu, 4359, Durban, Kwa-Zulu Natal, South Africa","So2 Ville is a private company which works with Coops, NGO's, and Small, Medium Enterprises. We focus on issues of governance, markets, sustainability, management, developmental programs and social entrepreneurship.",,https://www.linkedin.com/in/toki-mohoto-73516017/?originalSubdomain=za#oc-background-section,tokimohoto@gmail.com,
Support to Young Co-operators,Florida Cooperative Empowered Economic Development,Co-op developers in public schools,Americas,United States of America,"St. Petersburg, FL",27.7676008,-82.6402915,,,Co-op developers in public schools,"Pinellas Technical College, c/o Judith Turner, 901 34th St. S., St Petersburg FL 33711 USA","Florida-CEED exists to provide cooperative business education, technical and on-going assistance, as a strategy to broaden ownership and improve economic conditions.",We also develop youth co-ops based on the model Liga de Cooperativas de Puerto Rico.,floridaceed.org,floridaceed@gmail.com,
Support to Young Co-operators,EPICURUS Social Cooperative Enterprise of Collective and Social Benefit (EPICURUS S.C.E.),Cooperative,Europe,Greece,"Alimos, Athens",37.911841,23.7246066,,,Cooperative,"21 Spartis Street Alimos, Athens PC 17456, Greece","In times of ""human values"" crisis, Epicurus SCE's goal is to create alternative, realistic, experimental social activities on education, creation, art, for the support, bridging and coherence of children coming from the future, intellectual/thinking people creating in the present, wise old people holding the knowledge that stems from the past.","Epicurus Social Cooperative Enterprise of Collective and Social Benefit, is a Carrier of Social and Solidarity Economy, founded by eight women, in order to support the foundations of ""roads leading to the realization of utopia"", for a more wise/philosophical way of living.",www.epicurus.social,info@epicurus.social,
Support to Young Co-operators,COPROSEF LTDA.,Cooperative,Americas,Argentina,Fuentes,-33.1726215,-61.073268,,,Cooperative,"BV. Independencia 284, Fuentes, Provinci de Santa Fe, Argentina","COOPERATIVA DE PROVISION DE SERVICIOS PUBLICOS Y SOCIALES (ENERGIA URBANA Y RURAL, TELEFONIA, INTERNET, CABLE, AGUA, CLOACAS, NICHOS Y SEPELIOS).","LA COOPERATIVA TIENE 50 AÑOS DE VIDA, OPERA EN UN PUEBLO DE 3000 HABITANTES Y CUBRIMOS LAS NECESIDADES DE SERVICIOS EN EL 100% DEL TERRITORIO DE LA LOCALIDAD.",www.coprosef.coop,consejo@coprosef.coop,
Support to Young Co-operators,Cooperative Unimed,Cooperative,Americas,Brasil,"Pelotas, RS",-31.7653989,-52.3375886,,,Cooperative,"R. Alm. Barroso, 2309 - Centro, Pelotas - RS, 96010280 Brasil",Cooperativa de Médicos.,Maioria dos jovens são contratados por estágios e futuramente contratados.,www.unimed.coop.br,comunicacaobr@unimed.coop.br,
Support to Young Co-operators,COOMULDESA LTDA.,Cooperative,Americas,Colombia,San Gil,6.554824,-73.13412,,,Cooperative,"COD POSTAL 684031, CRA. 5 No. 11-79, Barrio San Juan de Dios, San Gil, Colombia","Es una Institución Auxiliar de las Cooperativas, es decir, aunque dependemos económicamente de COOMULDESA Ltda. y somos responsables de su proyecto socio empresarial PESEM, también prestamos servicios de educación y social a otras cooperativas del territorio. Nuestro trabajo se puede clasificar así: educación 50% y social 50%.","Tenemos una Escuela de Liderazgo Cooperativo que se viene fortaleciendo desde hace varios años, actualmente en nuestro colegio Cooperativo ofrecemos formación escolar desde párvulo hasta grado once y formación técnica laboral por competencias, en su Instituto Coomuldesa para el sector solidario de la región y de colombia. Además, con Aflatoun Internacional, venimos trabajando, articulado con una idea nuestra llamada exploradores solidarios, una estrategia de educación social y financiera.",http://institutocoomuldesa.com/,fundacioncoomuldesa@gmail.com,
Support to Young Co-operators,Cooperativa Latinoamericana de Ahorro y Crédito Utrahuilca,Cooperative,Americas,Colombia,Neiva,2.9344837,-75.2809001,,,Cooperative,"Cra 4ta No 18 - 54, Neiva, Colombia","La Fundación Social Utrahuilca se fundó en 1996. Su misión es desarrollar programas sociales en los departamentos del Huila, Caquetá, Tolima, Cauca, Nariño y Putumayo, que contribuyan al buen vivir y al bien vivir de las personas que integran la región, tomando como base la economía solidaria que genere paz y armonía con el medio ambiente y las comunidades existentes.","Es un organismo auxiliar y autónomo del sector de la economía solidaria, con capacidad autogestionaria que lidera la educación y la integración cooperativa a nivel local, regional y nacional con el desarrollo de programas de carácter educativo, social, político, cultural, deportivo y ambiental que propenden por el multiculturalismo y la interculturalidad, basados en la igualdad y la dignidad de la persona en una economía al servicio del género humano.",http://www.fundautrahuilca.org/,yagaros@gmail.com,
Support to Young Co-operators,"Coopertiva Multiactiva de Aporte y Crédito ""COOMFONELEC""",Cooperative,Americas,Colombia,Ibagué - Tolima,4.444676,-75.242438,,,Cooperative,Carrera 5 No. 39-76 Oficina 202 Edificio Torre Real de la Quinta en Ibagué - Tolima- Colombia.,"Somos una Cooperativa Multiactiva de Aporte y Crédito , sin animo de lucro, de vinculo abierto, de capital variable e ilimitado, regida por la ley, los principios, valores y doctrina del sector de la economía solidaria.","Proporcionamos servicios financieros y complementarios a nuestros asociados que garanticen la atención de sus necesidades en un marco de solidaridad, eficiencia, beneficio mutuo y bienestar personal para sus asociados, núcleo familiar, recurso y humano y comunidad en general.",www.info@coomfonelec.com,fonelectolima@yahoo.com,
Support to Young Co-operators,"Cooperativa Integral de Ahorro y Crédito, Cultura Comunitaria",Cooperative,Americas,Guatemala,Ciudad Capital,14.6349149,-90.5068824,,,Cooperative,"4ta. calle 0-11 zona 1, Ciudad Capital, Guatemala","Somos una cooperativa que busca fortalecer el trabajo de promotores, artistas, animadores, gestores culturales y grupos de jóvenes emprendedores, aumentando sus capacidades de autogestión y de impulso de proyectos de emprendimiento artístico y cultural para la generación de oportunidades de superación económica y social.","Buscamos fortalecer el sentido de cooperativismo entre los sectores sociales comunitarios y culturales, lo que logre ampliar las oportunidades de desarrollar ideas a proyectos artísticos y fortalecer las capacidades de artesanos y creadores que habitan áreas con menos oportunidades económicas y sociales.",n/a,cocultura.r.l@gmail.com,
Support to Young Co-operators,Cooperative de Vivienda Mathzi,Cooperative,Americas,México,Ecatepec de Morelos,19.601841,-99.0506744,,,Cooperative,"Jesús Martínez Cabrera Manzana 14 Lote 12, Gustavo Baz Prada, Ecatepec de Morelos, Estado de México, 55050","NUESTRA COOPERATIVA SE FUNDÓ EN 1985, HOY CUENTA CONTRES COLONIAS COOPERATIVAS, BENEFICIANDO A MAS DE 667 FAMILIAS. ACTUALMENTE SOMOS LA 3A GENERACIÓN Y ESTAMOS IMPULSANDO EL CUARTO DESARROLLO DE MATHZI, DIRIGIDO ESPECIALME PARA JÓVENES, ADEMAS DE TRABAJAR EN LA CONFORMACION DE LA FEDERACIÓN DE COOPERATIVAS DE VIVIENDA.","NUESTRA COOPERATIVA CUENTA CON UNA REPRESENTACION COMO VOCAL EN EL CONSEJO DE ADMINISTRACIÓN DE LA CONFEDERACIÓN NACIONAL COOPERATIVA DE ACTIVIDADES DIVERSAS DE LA REPÚBLICA MEXICANA (www.confe-coop.coop), MIEMBRO DE LA ACI, DONDE SE ESTA IMPULSANDO POR PARTE DE NUESTRO PRESIDENTE (MARIO ARREOLA) LA CREACIÓN DE UN FONDO DE FINANCIAMIENTO PARA EL DESARROLLO DE NUEVAS EMPRESAS COOPERATIVAS DE JÓVENES EN AMERICA LATINA",https://www.facebook.com/MATHZI-SCL-212795455425494/,mathziscl@gmail.com,
