Domain,RegistrantId
liga.coop,C113969863-CNIC
nddb.coop,C18206647-CNIC
motherdairy.coop,C18206650-CNIC
dairyboard.coop,C132856590-CNIC
aciamericas.coop,C18206659-CNIC
ica.coop,C175586193-CNIC
icaroap.coop,C175586183-CNIC
icao.coop,C175586228-CNIC
ncba.coop,C18206665-CNIC
clusa.coop,C18206665-CNIC
coopmonth.coop,C18206665-CNIC
heroes.coop,C18206668-CNIC
cooperationworks.coop,C622368183-CNIC
cdf.coop,C18206668-CNIC
cooperativewireless.coop,C18206680-CNIC
trueband.coop,C18206680-CNIC
nrtc.coop,C18206680-CNIC
ncb.coop,C18206683-CNIC
cooptravel.coop,C148877298-CNIC
co-optravel.coop,C148877298-CNIC
adamsec.coop,C18206707-CNIC
agralite.coop,C18206710-CNIC
southalabama.coop,C18206716-CNIC
southaec.coop,C18206716-CNIC
erec.coop,C18206716-CNIC
powersouth.coop,C18206716-CNIC
baldwinemc.coop,C18206716-CNIC
cwemc.coop,C18206716-CNIC
saec.coop,C18206716-CNIC
caec.coop,C18206716-CNIC
dixie.coop,C18206719-CNIC
dixieec.coop,C18206719-CNIC
alfalfaelectric.coop,C166182843-CNIC
appalachianelectric.coop,C18206755-CNIC
aep.coop,C18206761-CNIC
aepco.coop,C18206761-CNIC
ArkansasElectric.coop,C18206764-CNIC
claycountyelectric.coop,C405564535-CNIC
CarrollElectric.coop,C18206764-CNIC
FirstElectric.coop,C18206767-CNIC
Ozarksecc.coop,C18206764-CNIC
OuachitaElectric.coop,C18206764-CNIC
RichMountainElectric.coop,C18206764-CNIC
swrea.coop,C18206764-CNIC
WoodruffElectric.coop,C18206764-CNIC
wecc.coop,C18206764-CNIC
mississippicountyelectric.coop,C18206764-CNIC
mcec.coop,C18206764-CNIC
aiec.coop,C20621619-CNIC
icl.coop,C18206773-CNIC
amec.coop,C18206782-CNIC
ruralmissouri.coop,C18206782-CNIC
basinelectric.coop,C18206785-CNIC
bepc.coop,C18206785-CNIC
lyonrec.coop,C18206785-CNIC
slopeelectric.coop,C18206785-CNIC
cme.coop,C18206788-CNIC
ywelectric.coop,C31386048-CNIC
y-welectric.coop,C163819068-CNIC
sdrea.coop,C18206785-CNIC
butteelectric.coop,C18206785-CNIC
renville-sibley.coop,C18206785-CNIC
h-delectric.coop,C18206785-CNIC
autotruckfcu.coop,C18206797-CNIC
BENCO.coop,C18206800-CNIC
bigcountry.coop,C18206809-CNIC
blachlylane.coop,C625903463-CNIC
bhec.coop,C18206815-CNIC
blueridge.coop,C18206818-CNIC
blueridgeelectric.coop,C38271698-CNIC
bluebonnetelectric.coop,C18206821-CNIC
bremc.coop,C18206824-CNIC
booneremc.coop,C18206827-CNIC
BooneElectric.coop,C18206830-CNIC
BEC.coop,C18206833-CNIC
broadriverelectric.coop,C18206836-CNIC
BrownCountyREA.coop,C18206839-CNIC
butlerrec.coop,C444556021-CNIC
butler.coop,C18206854-CNIC
butlerrural.coop,C18206863-CNIC
craigheadelectric.coop,C18206866-CNIC
carteretcravenelectric.coop,C18206875-CNIC
carteretcraven.coop,C18206887-CNIC
kwh.coop,C18206899-CNIC
centralec.coop,C18206902-CNIC
central.coop,C18206905-CNIC
cgemc.coop,C283906209-CNIC
cipco.coop,C18206920-CNIC
crec.coop,C18206923-CNIC
boulderdamcu.coop,C18206926-CNIC
bdcu.coop,C18206926-CNIC
hsefcu.coop,C18206929-CNIC
hobokencreditunion.coop,C18206929-CNIC
clarkenergy.coop,C18206938-CNIC
CECI.coop,C18206941-CNIC
clayunionelectric.coop,C18206944-CNIC
clearwaterpower.coop,C39219984-CNIC
cloverland.coop,C18498682-CNIC
cecnet.coop,C18206953-CNIC
coastal.coop,C45664516-CNIC
coastalelectric.coop,C18206956-CNIC
coastalemc.coop,C18206956-CNIC
coastalelectriccooperative.coop,C18206956-CNIC
touchstoneenergyhome.coop,C18206956-CNIC
operationroundup.coop,C18206959-CNIC
crea.coop,C33264931-CNIC
ceca.coop,C265260733-CNIC
ComElec.coop,C18206977-CNIC
cvec.coop,C18206980-CNIC
consumerspower.coop,C18206983-CNIC
cpi.coop,C18206983-CNIC
consumerspowerinc.coop,C18206983-CNIC
cornbeltenergy.coop,C18206986-CNIC
cbpower.coop,C283909354-CNIC
franklinrec.coop,C283884799-CNIC
sre.coop,C18206992-CNIC
scenicriversenergy.coop,C18206992-CNIC
cuivre.coop,C18206995-CNIC
cuivreriver.coop,C18206995-CNIC
dairynet.coop,C18207001-CNIC
dairylandpower.coop,C18207001-CNIC
dakotaelectric.coop,C18207004-CNIC
deafsmith.coop,C280746034-CNIC
dce.coop,C18207010-CNIC
DeltaEPA.coop,C18207013-CNIC
ece.coop,C18207019-CNIC
ecemn.coop,C18207019-CNIC
eastcentralenergy.coop,C18207019-CNIC
ekpc.coop,C180672047-CNIC
emepa.coop,C18207025-CNIC
egyptianelectric.coop,C44946781-CNIC
southernpine.coop,C73749738-CNIC
eea.coop,C18207079-CNIC
farmersrecc.coop,C18207088-CNIC
fayette.coop,C18207091-CNIC
fayette-electric.coop,C18207091-CNIC
fayette-internet.coop,C18207091-CNIC
federatedrea.coop,C18207094-CNIC
federatedrural.coop,C18207097-CNIC
foxislandselectric.coop,C283898694-CNIC
fmcs.coop,C38425740-CNIC
freebornmowercooperativeservices.coop,C18207112-CNIC
fultoncountyremc.coop,C18207115-CNIC
gibsonemc.coop,C18207127-CNIC
heritagecu.coop,C18207130-CNIC
gvea.coop,C18207133-CNIC
glenergy.coop,C154476043-CNIC
gtlakes.coop,C154476363-CNIC
greatlakesenergy.coop,C154476563-CNIC
grundyec.coop,C18207139-CNIC
grundy.coop,C18207139-CNIC
gcec.coop,C361113816-CNIC
gulfcoastec.coop,C18207157-CNIC
gvec.coop,C18207160-CNIC
hemc.coop,C18207163-CNIC
tccu.coop,C283908789-CNIC
ahcu.coop,C283901624-CNIC
hartemc.coop,C305365939-CNIC
ilec.coop,C18207202-CNIC
ILDC.coop,C18207202-CNIC
jeffersonenergy.coop,C18207208-CNIC
jec.coop,C18207208-CNIC
rollinghills.coop,C453497161-CNIC
cullmanec.coop,C18207217-CNIC
cullmanelectric.coop,C18207217-CNIC
cullmanenergy.coop,C18207217-CNIC
