GROUP_CONCAT(DISTINCT RegistrantId),Organisation,c
"C36352945-CNIC,C36352888-CNIC",A.R.E.S. Bipiemme S.C.a r.l.,2
"C18226597-CNIC,C631903693-CNIC",ACTUA SCCL,2
"C18213343-CNIC,C265227313-CNIC",ADHERENTS.COOP UNION COOPERATIVE AGRICOLE,2
"C18217267-CNIC,C18222709-CNIC",ADULLACT PROJET,2
"C283908159-CNIC,C283908204-CNIC","AGCO, Inc.",2
"C119273763-CNIC,C18213133-CNIC",AMERICAN 1 CREDIT UNION,2
"C18226723-CNIC,C241694159-CNIC","ASC, SCCL",2
"C200982019-CNIC,C200982309-CNIC","ATIPICS, SCCL",2
"C18212455-CNIC,C18216439-CNIC",Abacus SCCL,2
"C563851653-CNIC,C563852483-CNIC",Abbey Credit Union,2
"C283885529-CNIC,C283884954-CNIC",Access Communications,2
"C540907119-CNIC,C633328023-CNIC",Accord Housing Association Limited,2
"C18209203-CNIC,C18222790-CNIC","Agri-Mark, Inc",2
"C18213091-CNIC,C45225995-CNIC",Alberta Cooperative Grocery,2
"C166182843-CNIC,C166180603-CNIC",Alfalfa Electric Cooperative Inc.,2
"C18220129-CNIC,C18232051-CNIC",All China Federation of Supply and Marketing Cooperatives,2
"C31402447-CNIC,C18216910-CNIC",Alloya Corporate FCU,2
"C138213348-CNIC,C138213356-CNIC",Alternative Inc.,2
"C18210865-CNIC,C224481739-CNIC",Amalgamated Housing Corporation,2
"C18211285-CNIC,C265849818-CNIC",Appliance Dealers Cooperative,2
"C171235103-CNIC,C161740368-CNIC",Arc Servicios Integrales de Seguros SCCL,2
"C272413843-CNIC,C178055293-CNIC",Arizmendi Bakery Cooperative,2
"C18206761-CNIC,C150098398-CNIC",Arizona Electric Power Cooperative,2
"C18207880-CNIC,C18208480-CNIC","Arizona Electric Power Cooperative, Inc.",2
"C283901099-CNIC,C283901109-CNIC",Arkansas Superior Federal Credit Union,2
"C18212587-CNIC,C43834774-CNIC",Ashland Food Cooperative,2
"C540304154-CNIC,C468968751-CNIC",Asociacion Colombiana de Cooperativas,2
"C20621619-CNIC,C18206773-CNIC",Assn. of Illinois Electric Coop. In,2
"C18228079-CNIC,C251506517-CNIC","Associated Electric Co op, Inc.",2
"C125354977-CNIC,C125354192-CNIC",Atlantic Towers Apartment Corporation,2
"C69261269-CNIC,C523130819-CNIC",Australian IYC Secretariat,2
"C283884679-CNIC,C283887694-CNIC",Azienda agricola Leggero Luca,2
"C18211465-CNIC,C219328259-CNIC",BANCO CREDICOOP COOPERATIVO LTDO,2
"C18220258-CNIC,C247078854-CNIC",BEK Communications,2
"C283883524-CNIC,C484265149-CNIC",BETADUE COOPERATIVA SOCIALE DI TIPO B ONLUS,2
"C325349691-CNIC,C383539645-CNIC",BIOCOOP SA,2
"C18210799-CNIC,C582267613-CNIC","Bartlett Electric Cooperative, Inc.",2
"C283906674-CNIC,C283906679-CNIC",Ben Lomand Telephone,2
"C18206833-CNIC,C192785949-CNIC",Berkeley Electric Cooperative,2
"C283886669-CNIC,C531820529-CNIC",Best Reward Credit Union,2
"C18209845-CNIC,C19041877-CNIC",Bethpage FCU,2
"C625903463-CNIC,C625903808-CNIC",Blachly-Lane Electric Cooperative,2
"C18206818-CNIC,C38271698-CNIC",Blue Ridge Electric Cooperative,2
"C18206824-CNIC,C18206827-CNIC",Boone County REMC,2
"C18224293-CNIC,C18224299-CNIC",Bravofly SA,2
"C18206839-CNIC,C84859932-CNIC",Brown County Rural Electric Assn.,2
"C18212167-CNIC,C18224686-CNIC",Bundesverband der Deutschen Volksbanken und Raiffeisenbanken,2
"C444556021-CNIC,C283884799-CNIC",Butler county rural electric coop,2
"C501116544-CNIC,C521152589-CNIC",BuyLibre,2
"C636479363-CNIC,C18211381-CNIC",CABAL COOPERATIVA DE PROVISION DE SERVICIOS LTDA,2
"C18231166-CNIC,C283372669-CNIC",CBN,2
"C18211795-CNIC,C18211801-CNIC",CCVF,2
"C18212044-CNIC,C18223816-CNIC",CELMAR,2
"C86953300-CNIC,C395673990-CNIC",CERP ROUEN,2
"C135131861-CNIC,C135131811-CNIC",CGIN,2
"C18207448-CNIC,C302850099-CNIC",CHS Inc,2
"C322063316-CNIC,C511154764-CNIC",CLARABOIA AUDIOVISUAL SCCL,2
"C18210532-CNIC,C18230503-CNIC",CO-OP Tohoku Sunnet Business Federation,2
"C225083344-CNIC,C108247196-CNIC",COBAT,2
"C391273845-CNIC,C414140601-CNIC",COFFED,2
"C18211513-CNIC,C18217678-CNIC",COL.LECTIU RONDA SCCL,2
"C18216796-CNIC,C18217600-CNIC",CONSORZIO IMPRONTE SOCIALI Societa Cooperativa Sociale,2
"C18214951-CNIC,C268698028-CNIC",CONSUMERS CO-OPERATIVE SAPPORO,2
"C18213364-CNIC,C18208714-CNIC",COOP FR,2
"C18219694-CNIC,C18219700-CNIC",COOP NORGE AS,2
"C605294943-CNIC,C605295023-CNIC",COOP SP. Z O.O.,2
"C18215296-CNIC,C71615769-CNIC",COOPERAR Confederacion Cooperativa de la Republica Argentina,2
"C79145856-CNIC,C44945342-CNIC",COOPERATIVA DE A/C DR. MANUEL ZENO GANDIA,2
"C161665888-CNIC,C161665233-CNIC",COOPERATIVA DE AHORRO Y CREDITO UNION COLOMBIANA,2
"C215402004-CNIC,C18207436-CNIC",COOPERATIVA DE SEGUROS MULTIPLES DE PUERTO RICO,2
"C532291544-CNIC,C579928853-CNIC",COOPERATIVA DE VENDEDORES DE APUESTAS,2
"C508829784-CNIC,C604487108-CNIC",COOPERATIVE EUREDEN,2
"C234702804-CNIC,C222872939-CNIC",CREDIT AGRICOLE S.A.,2
"C119619131-CNIC,C124000472-CNIC",CU Community LLC,2
"C18210814-CNIC,C379292155-CNIC",Calgary Co operative Association Limited,2
"C18221128-CNIC,C556183768-CNIC",CanTrust Hosting Co-operative,2
"C283905759-CNIC,C283905744-CNIC",Canadian Co operative Association (CCA),2
"C79489026-CNIC,C79488825-CNIC",Cape Hatteras Electric Co op,2
"C212116534-CNIC,C212116554-CNIC",Care Share Cooperative,2
"C96657116-CNIC,C96657074-CNIC",Carolina Postal Credit Union,2
"C20714743-CNIC,C273409283-CNIC",Cent Cent Savings and Credit Co-operative Society Limited,2
"C18206902-CNIC,C18206905-CNIC","Central Electric Cooperative, Inc.",2
