Identifier,Name,Description,Organisational Structure,Primary Activity,Activities,Street Address,Locality,Region,Postcode,Country ID,Territory ID,Website,Phone,Email,Twitter,Facebook,Companies House Number,Qualifiers,Membership Type,Latitude,Longitude,Geo Container,Geo Container Latitude,Geo Container Longitude,Sector,SIC Section,SIC Code,Ownership Classification,Legal Form,Legal Form Subcategory 1,Legal Form Subcategory 1,UK Nation,Type of Organisation,Registered Status,Registered Number,Registrar,Incorporation Date,Dissolved Date,Organisation Name,WC Legal Form
R022441,Red Learning Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,20 Marlborough Road,Oxford,Oxfordshire,OX1 4LP,GB,,http://www.redlearning.coop,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Education,Education,85320,Workers,Society,Co-operative Society,"",England,Co-operative,Live,4465,FCA,16/4/2018,"",The Red Learning Co-operative Limited,Co-operative Society
R008899,Landvision South East,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,"Balfron
Cockmount Lane",Wadhurst,East Sussex,TN5 6UG,GB,,https://landvision.co.uk/,,,,,08599669,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"",74901,Workers,Company,Limited by Shares,"",England,Co-operative,Live,08599669,Companies House,5/7/2013,"",Landvision South East Ltd,Limited by Shares
R008903,The Willows Project,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,"c/o Canalside Community Food
Southam Road
Radford Semele",Leamington Spa,Warwickshire,CV31 1TY,GB,,http://www.thewillowsproject.org.uk/,,,,,08480754,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Health and Social Care,Human Health and Social Work,88990,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,08480754,Companies House,9/4/2013,"",The Willows Project ltd,Limited by Guarantee
R020914,Grass Roots Remedies Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,79 Crewe Crescent,Edinburgh,City of Edinburgh,EH5 2JN,GB,,http://www.grassrootsremedies.co.uk,,,,,SC525407,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Health and Social Care,Human Health and Social Work,86900,Workers,Company,Limited by Guarantee,"",Scotland,Co-operative,Live,SC525407,Companies House,28/1/2016,"",Grass Roots Remedies Co-operative Limited,Limited by Guarantee
R009664,MBM Co-operative Services,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,16 Dalegarth Gardens,Purley,Croydon,CR8 1EH,GB,,http://mbm.coop,,,,,08971837,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",70229,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,08971837,Companies House,1/4/2014,"",MBM Co-operative Services Ltd,Limited by Guarantee
R001688,FDH (FDH Architecture),,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,43 High Street,Lydney,Gloucestershire,GL15 5DD,GB,,http://www.fdharchitecture.com,,,,,02724661,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",71129,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,02724661,Companies House,22/6/1992,"",FDH Ltd,Limited by Guarantee
R002417,Abbey Road Kids Club,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,"8 Cragmoor Road
Burton Joyce",Nottingham,Nottinghamshire,NG14 5AR,GB,,,,,,,03929208,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Health and Social Care,Human Health and Social Work,88910,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,03929208,Companies House,18/2/2000,"",Abbey Road Kids Club Ltd.,Limited by Guarantee
R002418,Organic North Wholesalers,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,"Unit D27
New Smithfield Market
Openshaw",Manchester,Manchester,M11 2WJ,GB,,http://www.organicnorth.co.uk/,,,,,03337934,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,46310,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,03337934,Companies House,21/3/1997,"",Organic 2000 Ltd,Limited by Guarantee
R002419,Young People's Wellbeing Service,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,"28 Lower Northam Road
Hedge End",Southampton,Hampshire,SO30 4FQ,GB,,http://www.teenagedrop-inhedgeend.co.uk,,,,,03975948,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Health and Social Care,Human Health and Social Work,86900,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,03975948,Companies House,18/4/2000,"",Young People's Wellbeing Service ltd.,Limited by Guarantee
R002424,Leeds Environmental Design Associates (LEDA),,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,"Micklethwaite House
70 Cross Green Lane",Leeds,Leeds,LS9 0DG,GB,,http://www.leda.coop,,,,,04112852,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",71111,Workers,Company,Limited by Shares,"",England,Co-operative,Live,04112852,Companies House,23/11/2000,"",Leeds Environmental Design Associates Limited,Limited by Shares
R002847,Footprint Workers Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,"16 Sholebroke Avenue
Chapeltown",Leeds,Leeds,LS7 3HB,GB,,http://www.footprinters.co.uk,,,,,03357921,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Arts and Culture,"",90030,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,03357921,Companies House,22/4/1997,"",Footprint Workers Co-operative Ltd.,Limited by Guarantee
R027209,The Earth Bound Misfits,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,"The Poplars
Bridge Street",Brigg,North Lincolnshire,DN20 8NQ,GB,,http://www.earthboundmisfits.co.uk,,,,,03337453,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Sports and Recreation,"Arts, Entertainment and Recreation",93290,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,03337453,Companies House,21/3/1997,"",Earth Bound Misfits Ltd.,Limited by Guarantee
R002850,Dynamix,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA120,,"Unit 4D
Cwm Road",Swansea,Swansea,SA1 2AY,GB,,http://www.dynamix.coop,,,,,02413574,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Other,"",96090,Workers,Company,Limited by Guarantee,"",Wales,Co-operative,Live,02413574,Companies House,15/8/1989,"",Dynamix Limited,Limited by Guarantee
R002851,North East Music Co-operative (NEMCO),,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,"McCracken Park
Great North Road
Gosforth",Newcastle,Newcastle upon Tyne,NE3 2DT,GB,,http://www.nemco.org.uk,,,,,03079979,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Education,Education,85590,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,03079979,Companies House,14/7/1995,"",North East Music Co-operative Limited,Limited by Guarantee
R034196,MYCO Manchester Mushroom,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,,,1396 Ashton Old Road,Manchester,Manchester,M11 1JX,GB,,http://linktr.ee/mycomanchester,,,,,13068762,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Agriculture,,"",Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,13068762,Companies House,7/12/2020,"",MYCO Manchester Mushroom Ltd,Limited by Guarantee
R006375,The Cycling Partnership,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS115,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA280,,"The Lodge Green End Lane
Plymtree",Cullompton,Devon,EX15 2JR,GB,,http://www.thecyclingpartnership.co.uk,,,,,OC366070,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Membership associations, social clubs and trade unions",Other Service Activities,94990,Workers,LLP,"","",England,Co-operative,Live,OC366070,Companies House,29/6/2011,"",The Cycling Partnership LLP,""
R006377,Greasby Pre-School Playgroup,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,21 Halton Crescent,Greasby,Wirral,CH49 3PG,GB,,,,,,,07696153,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Education,Education,85100,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,07696153,Companies House,7/7/2011,"",Greasby Pre-School Playgroup Limited,Limited by Guarantee
R000168,Hackney Co-operative Developments (HCD),,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS120,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,62 Beechwood Road,London,Hackney,E8 3DY,GB,,http://www.hcd.coop/,,,,,01673378,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Professional and Legal services,"Professional, Scientific and Technical",70220,Workers,Community Interest Company,Limited by Guarantee,"",England,Co-operative,Live,01673378,Companies House,21/10/1982,"",Hackney Co-operative Developments Community Interest Company,Limited by Guarantee
R025001,Knott Wood Coppicers,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA30,,10 Broughton Street,Hebden Bridge,Calderdale,HX7 8JY,GB,,,,,,,03235836,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Agriculture,"Agriculture, Forestry and Fishing",02100,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,03235836,Companies House,9/8/1996,"",Knott Wood Coppicers Limited,Limited by Guarantee
R007674,Morningside Nursery,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,1a Nile Grove,Edinburgh,City of Edinburgh,EH10 4RE,GB,,,,,,,SC386418,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Education,Education,85100,Workers,Company,Limited by Guarantee,"",Scotland,Co-operative,Live,SC386418,Companies House,4/10/2010,"",Morningside Children's Nursery Ltd,Limited by Guarantee
R008919,Bridgefoot Organic Co-operative,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA10,,Bridgefoot Organic Farm,Newmachar,Aberdeenshire,AB21 7PE,GB,,http://www.bridgefootorganics.co.uk,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Agriculture,"Agriculture, Forestry and Fishing",01130,Workers,Society,Registered Society,BFC,Scotland,Co-operative,Live,2768RS,FCA,2/5/2013,"",Bridgefoot Organic Co-operative Limited,Co-operative Society
R008926,Valley Organics Workers Co-op,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA260,,31 Market Street,Hebden Bridge,Calderdale,HX7 6EU,GB,,https://valleyorganics.coop/,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Retail,Wholesale and Retail; Vehicle Repair,47210,Workers,Society,Registered Society,BFC,England,Co-operative,Live,32061R,FCA,7/5/2013,"",Valley Organics Workers Co-op Limited,Co-operative Society
R008928,Bishopston Beanstalks,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS50,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA270,,"Bishopton Methodist Church
245 Gloucester Road
Bishopston",Bristol,"Bristol, City of",BS7 8NY,GB,,http://www.bishopstonbeanstalks.co.uk/,,,,,08556138,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Education,Education,85100,Workers,Company,Limited by Guarantee,"",England,Co-operative,Live,08556138,Companies House,4/6/2013,"",Bishopston Beanstalks Ltd,Limited by Guarantee
R008932,The Coppice Co-op,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA30,,"Crag View
Dixon's Field
Crag Bank",Carnforth,Lancashire,LA5 9JN,GB,,http://www.coppicecoop.co.uk,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,Agriculture,"Agriculture, Forestry and Fishing",02100,Workers,Society,Registered Society,BFC,England,Co-operative,Live,32118R,FCA,3/7/2013,"",The Coppice Co-op Limited,Co-operative Society
R009683,Paper Rhino,,https://dev.lod.coop/essglobal/2.1/standard/organisational-structure/OS130,https://dev.lod.coop/essglobal/2.1/standard/activities-ica/ICA110,,27 West Street,Helpston,Peterborough,PE6 7DU,GB,,http://paperrhino.co.uk/,,,,,,,https://dev.lod.coop/essglobal/2.1/standard/base-membership-type/BMT30,,,,,,"Digital, Media and Communication","Professional, Scientific and Technical",74100,Workers,Society,Registered Society,BFC,England,Co-operative,Live,32419R,FCA,19/6/2014,"",Paper Rhino Limited,Co-operative Society
